Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	1.74353231410861e-14	3.02071711165256e+16
2.27986488733322e-09	3.42716907712818e-10	1.74340417148707e-14	3.02071707160726e+16
4.78638710893473e-09	7.19506844373812e-10	1.74326328930742e-14	3.02071702758064e+16
7.53943637653096e-09	1.13335848801321e-09	1.74310855076618e-14	3.02071697922349e+16
1.05603366094998e-08	1.58748010007925e-09	1.74293875732357e-14	3.02071692616093e+16
1.38719433424862e-08	2.08531155008504e-09	1.7427526243524e-14	3.02071686799102e+16
1.74987224573138e-08	2.63053666823362e-09	1.74254877671253e-14	3.02071680428333e+16
2.14668299687519e-08	3.22709592308128e-09	1.74232574426587e-14	3.02071673457742e+16
2.58041925613601e-08	3.87919942630617e-09	1.74208195734911e-14	3.02071665838136e+16
3.05405885411803e-08	4.5913402738466e-09	1.74181574222291e-14	3.02071657517014e+16
3.5707728831983e-08	5.36830824251348e-09	1.74152531651835e-14	3.02071648438409e+16
4.13393376110172e-08	6.2152038742774e-09	1.74120878470336e-14	3.02071638542725e+16
4.74712321441638e-08	7.13745299750922e-09	1.74086413359374e-14	3.0207162776656e+16
5.41414013452507e-08	8.1408217561802e-09	1.74048922793545e-14	3.02071616042542e+16
6.13900825492864e-08	9.23143224540981e-09	1.74008180608669e-14	3.02071603299134e+16
6.92598359549032e-08	1.0415778885894e-08	1.73963947583029e-14	3.02071589460452e+16
7.77956161575683e-08	1.17007457115599e-08	1.73915971034866e-14	3.02071574446059e+16
8.70448401626033e-08	1.30936247958671e-08	1.73863984439552e-14	3.02071558170749e+16
9.70574512359653e-08	1.46021361039374e-08	1.73807707070023e-14	3.02071540544317e+16
1.07885977921572e-07	1.62344491317755e-08	1.73746843664209e-14	3.02071521471307e+16
1.19585587527084e-07	1.79992067822019e-08	1.73681084123358e-14	3.02071500850728e+16
1.32214133355798e-07	1.99055520315109e-08	1.73610103245256e-14	3.0207147857575e+16
1.45832194941192e-07	2.19631580640587e-08	1.73533560496489e-14	3.02071454533344e+16
1.60503110523097e-07	2.41822626966958e-08	1.73451099827953e-14	3.02071428603885e+16
1.76293000990736e-07	2.65737080825483e-08	1.73362349537893e-14	3.02071400660687e+16
1.93270784508659e-07	2.9148986879402e-08	1.73266922186802e-14	3.02071370569464e+16
2.1150818103702e-07	3.19202962938391e-08	1.73164414568521e-14	3.02071338187696e+16
2.31079705958351e-07	3.49006016722976e-08	1.73054407741836e-14	3.02071303363887e+16
2.52062652029238e-07	3.81037116086438e-08	1.72936467126859e-14	3.02071265936692e+16
2.74537058887484e-07	4.15443668809257e-08	1.72810142670358e-14	3.02071225733868e+16
2.98585669363857e-07	4.523834592193e-08	1.72674969084093e-14	3.02071182571054e+16
3.24293871872586e-07	4.9202589974223e-08	1.7253046616004e-14	3.02071136250297e+16
3.51749628186758e-07	5.34553515915182e-08	1.72376139166202e-14	3.02071086558324e+16
3.81043385943814e-07	5.80163707327089e-08	1.72211479326435e-14	3.02071033264484e+16
4.12267975272759e-07	6.29070833608738e-08	1.72035964387442e-14	3.02070976118306e+16
4.45518488988454e-07	6.81508682213794e-08	1.71849059275759e-14	3.02070914846621e+16
4.80892145859686e-07	7.37733383537403e-08	1.71650216847183e-14	3.02070849150153e+16
5.18488136526516e-07	7.98026849004344e-08	1.71438878730663e-14	3.02070778699501e+16
5.58407451718691e-07	8.6270081946872e-08	1.71214476268242e-14	3.02070703130412e+16
6.00752692510514e-07	9.32101624876794e-08	1.70976431552112e-14	3.02070622038216e+16
6.45627862438318e-07	1.00661577203029e-07	1.70724158559332e-14	3.020705349713e+16
6.93138141404302e-07	1.08667649598538e-07	1.70457064384187e-14	3.02070441423449e+16
7.43389641394613e-07	1.17277143262905e-07	1.70174550567548e-14	3.02070340824887e+16
7.96489144149785e-07	1.26545159623421e-07	1.69876014521978e-14	3.02070232531783e+16
8.5254382104134e-07	1.36534187700673e-07	1.69560851050692e-14	3.02070115813986e+16
9.11660935529178e-07	1.47315331092193e-07	1.69228453957783e-14	3.02069989840689e+16
9.73947528699356e-07	1.58969741924949e-07	1.6887821774646e-14	3.02069853663674e+16
1.03951008851042e-06	1.71590296932751e-07	1.6850953940139e-14	3.0206970619773e+16
1.1084542035078e-06	1.85283557358795e-07	1.68121820250503e-14	3.0206954619775e+16
1.18088420189888e-06	2.0017206233417e-07	1.67714467901011e-14	3.02069372231937e+16
1.25690277701528e-06	2.16397015004129e-07	1.67286898243719e-14	3.02069182650418e+16
1.33661060032293e-06	2.34121432375528e-07	1.66838537519094e-14	3.02068975548442e+16
1.42010592327288e-06	2.53533844071578e-07	1.6636882443799e-14	3.02068748723162e+16
